,orig_name,name,url,volume,options,Напиток,Вкус,С содержанием сока,Степень газирования,Упаковка,Стандарты производства,Состав,Энергетическая ценность в 100 г,Углеводы в 100 г,Срок годности,brend,category,Цвет,Тип,Объем,Материал корпуса,Материал колбы,Сохраняет холод,Высота,Диаметр/ширина корпуса,Вес,Особенности,В комплекте,Основа,Разбавитель,Степень глянца,Количество компонентов,Нанесение,Область применения,Материал обработки,Для внутренних работ,Для наружных работ,УФ защита,Время высыхания,Яхтный лак,Влагостойкий,Сохраняет тепло,Объем упаковки,Класс вязкости SAE,Класс ACEA,Класс ACEA (подробно),Двигатель,Тип двигателя,Назначение,Допуски,Тип баллона,Газ,Вид,Объем баллона,Масса газа,Соединение,Рабочее давление,Масса,Диаметр,Дополнительная информация,Срок службы,Подключение к водопроводу,Использование,Фильтрующий модуль в комплекте,Накопительная емкость,Мощность,Прозрачный корпус,Без сахара,Тип воды,Материал упаковки,Вид воды,Артезианская,Газированная,Страна производства,Сырье пива,Способ обработки пива,Крепость,Количество в упаковке,Блок,Дегустационные характеристики,Энергетическая ценность в 100 мл,Углеводы в 100 мл,Столовая,Уровень минерализации,Материал,Количество фигурок в наборе,Персонаж,Тип питания,Для детского питания,Спортивный колпачок,С добавлением сока,Рекомендуемый возраст,Гипоаллергенный,path,Родниковая,С винтовой крышкой,Белки в 100 г,Жиры в 100 г,Средство,Спрей,Тип кожи,Эффект,Масла и экстракты,Не содержит,Способ применения,Форма выпуска,Содержание сахара,Сорт винограда,Рекомендации по употреблению,Вид напитка,Жирность,Органический продукт,С мякотью,Витамины и минералы,Газированный,Стимулирующее вещество,Способ обработки,Пол,Верхние ноты,Средние ноты,Базовые ноты
10,7 АП.2Л Товар представлен не во всех магазинах.,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Barley Bros Лимонад, 0,44 л ",Лимонад Barley Bros лимон и марокканская мята,https://market.yandex.ru/product--limonad-barley-bros-limon-i-marokkanskaia-miata/552630055,"0,44",Лимонад Barley Bros лимон и марокканская мята;Лимонад Barley Bros яблоко и зеленый чай,лимонад,"лимон, мята",да,,стеклянная бутылка,,"вода питьевая очищенная, ячмень пивоваренный, концентрированный яблочный сок, концентрированный лимонный сок, натуральный ароматизатор, масло марокканской мяты",30 ккал,6.5 г,,Barley Bros,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Millstream Питьевая вода негазированная  Оштен, 1500 мл*От 6-ти бутылок","Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка",https://market.yandex.ru/product--voda-pitevaia-aqua-angels-negazirovannaia-aliuminievaia-butylka/184559764,1500,"Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка;Вода питьевая Новотерская негазированная, ПЭТ;Вода питьевая Оштен негазированная, стекло;Вода питьевая Mever негазированная, ПЭТ;Вода питьевая Оштен негазированная, пластик;Вода природная высшей категории Jevea негазированная, ПЭТ",,,,,,,,,,12 мес.,Aqua Angels,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,металл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Millstream Питьевая вода негазированная Оштен, 500 мл*От 6-ти бутылок","Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка",https://market.yandex.ru/product--voda-pitevaia-aqua-angels-negazirovannaia-aliuminievaia-butylka/184559764,500,"Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка;Вода питьевая Новотерская негазированная, ПЭТ;Вода природная высшей категории Jevea негазированная, ПЭТ;Вода питьевая Bon Aqua негазированная ПЭТ;Вода питьевая TASSAY негазированная, ПЭТ;Вода питьевая Mever негазированная, ПЭТ",,,,,,,,,,12 мес.,Aqua Angels,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,металл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Mirinda, 1,5 л",Газированный напиток Mirinda,https://market.yandex.ru/product--gazirovannyi-napitok-mirinda/163584393,"1,5",Газированный напиток Mirinda;Газированный напиток Mirinda Mix-It ананас-груша;Газированный напиток Mirinda Mix-It Клубника-Личи,газированный напиток,апельсин,да,сильногазированный,пластиковая бутылка,ТУ 9185-001-17998155-00,"вода, сахар, концентрированный апельсиновый сок, регулятор кислотности лимонная кислота, консервант сорбат калия, ароматизаторы, антиокислитель аскорбиновая кислота, стабилизатор гуммиарабик, подсластители (сукралоза, ацесульфам калия), красители (бета-апо-8'-каротиновый альдегид (C30, каротины)",27 ккал,7 г,"6 мес., хранить при температуре от 0 до +35 градусов, с относительной влажностью воздуха не более 75%, после вскрытия хранить в холодильнике в течение 24 часов, не подвергать воздействию прямого солнечного света",Mirinda,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,общее содержание сока 4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Mountain Dew, 1,5 л",Газированный напиток Mountain Dew Цитрус,https://market.yandex.ru/product--gazirovannyi-napitok-mountain-dew-tsitrus/208532093,"1,5",Газированный напиток Mountain Dew Цитрус;Газированный напиток Mountain Dew Цитрус;Газированный напиток Mountain Dew Throwback;Газированный напиток Mountain Dew Ice Lemon Lime;Газированный напиток Mountain Dew LiveWire;Газированный напиток Mountain Dew Ice Cherry,газированный напиток,,,сильногазированный,пластиковая бутылка,,"вода, регуляторы кислотности (Е330, E332(i)), ароматизаторы, стабилизаторы (E414, E440, E445), подсластители (E950, E951, E955), антиокислители (E300, E301), консервант (Е202, E211), кофеин (не более 150 мг/л), краситель (Е160a)",1 ккал,0.1 г,12 мес.,MTN DEW,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"хранить при температуре от 0`С до +35`С, с относительной влажностью воздуха не более 75%, после вскрытия хранить в холодильнике в течение 24 часов, не подвергать воздействию прямого солнечного света",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Pepsi-Cola/Mirinda/7-UP,  0,5 л**",Газированный напиток Pepsi,https://market.yandex.ru/product--gazirovannyi-napitok-pepsi/163584540,7,Газированный напиток Pepsi;Газированный напиток Pepsi Max;Газированный напиток Калинов Кола;Газированный напиток Pepsi Max;Газированный напиток Mirinda;Газированный напиток Pepsi Lime,газированный напиток,кола,,сильногазированный,металлическая банка,"ТУ 11.07.19-001-17998155-2013, 9185-001-17998155-13","вода, сахар, краситель (Е150а), регулятор кислотности (E338), кофеин (не более 150 мг/л), ароматизатор ""Пепси""",45 ккал,11.2 г,"6 мес., хранить при температуре от 0 до +35 градусов и относительной влажности воздуха не более 75%, не подвергать воздействию прямого солнечного света",Pepsi,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Pepsi-Cola/Mirinda/7-UP, 1,5 л**",Газированный напиток Pepsi,https://market.yandex.ru/product--gazirovannyi-napitok-pepsi/163585534,7,Газированный напиток Pepsi;Газированный напиток Pepsi;Газированный напиток Pepsi Max;Газированный напиток Mirinda;Газированный напиток Pepsi Light;Газированный напиток Калинов Кола,газированный напиток,кола,,сильногазированный,пластиковая бутылка,ТУ 11.07.19-001-17998155-2013,"вода, сахар, краситель (Е150d), регулятор кислотности (E338), кофеин (не более 150 мг/л), ароматизатор ""Пепси""",45 ккал,11.2 г,"6 мес., хранить при температура от 0 до +35 градусов, беречь от воздействия прямого солнечного света",Pepsi,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Акваминерале без газа пэт 0,5л","Вода питьевая Aqua Minerale негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-negazirovannaia-pet/157467568,"0,5","Вода питьевая Aqua Minerale негазированная, ПЭТ;Вода питьевая Аква Минерале плюс с магнием негазированная, ПЭТ;Вода питьевая Aqua Minerale негазированная с соком Мята-лайм, ПЭТ;Вода питьевая Aqua Minerale Active негазированная Малина, спорт ПЭТ;Вода питьевая Aqua Minerale Active негазированная Цитрус, спорт ПЭТ",,,,,,ТУ 0131-001-17998155-00,"мг/л: минерализация: 50-500, калий - 10, кальций - 30, магний - 20, сульфаты - 100, хлориды - 50, гидрокарбонаты - 200",,,24 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Акваминерале газированная пэт 1,5л","В"Вода питьевая Aqua Minerale негазированная, ПЭТ"ода питьевая Aqua Minerale газированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-gazirovannaia-pet/157465524,"1,5","Вода питьевая Aqua Minerale газированная, ПЭТ;Вода питьевая Аква Минерале газированная с соком Черешня, ПЭТ",,,,,,,"мг/л: калий - 10; кальций - 30; магний - 20; сульфаты - 100; хлориды - 50; гидрокарбонаты - 200; общая минерализация: 50-500 мг/л; общая жесткость: < 7 мг-экв/л CO2 - 0,2-0,8 %",,,6 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Акваминерале газированная пэт 2л,"Вода питьевая Aqua Minerale газированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-gazirovannaia-pet/157465524,2,"Вода питьевая Aqua Minerale газированная, ПЭТ",,,,,,,"мг/л: калий - 10; кальций - 30; магний - 20; сульфаты - 100; хлориды - 50; гидрокарбонаты - 200; общая минерализация: 50-500 мг/л; общая жесткость: < 7 мг-экв/л CO2 - 0,2-0,8 %",,,6 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Акваминерале негазированная пэт 1,5л","Вода питьевая Aqua Minerale негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-negazirovannaia-pet/157467568,"1,5","Вода питьевая Aqua Minerale негазированная, ПЭТ;Вода питьевая Aqua Minerale газированная, ПЭТ;Вода питьевая Аква Минерале плюс с магнием негазированная, ПЭТ;Вода питьевая Aqua Minerale негазированная с соком Лимон, ПЭТ;Минеральная вода Aqua Russa негазированная, ПЭТ;Минеральная вода Aqua Russa газированная, ПЭТ",,,,,,ТУ 0131-001-17998155-00,"мг/л: минерализация: 50-500, калий - 10, кальций - 30, магний - 20, сульфаты - 100, хлориды - 50, гидрокарбонаты - 200",,,24 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Аква минерале плюс негазированная 0,5л пэт","Вода питьевая Аква Минерале плюс с магнием негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-akva-minerale-plius-s-magniem-negazirovannaia-pet/526688012,"0,5","Вода питьевая Аква Минерале плюс с магнием негазированная, ПЭТ;Вода питьевая Aqua Minerale негазированная, ПЭТ;Вода питьевая Aqua Minerale газированная, ПЭТ;Вода питьевая Aqua Minerale негазированная с соком Лимон, ПЭТ;Вода витаминизированная Essential Aqua негазированная, ПЭТ;Вода питьевая Аква Минерале газированная с соком Черешня, ПЭТ",,,,,,,"калий - 10 мг/л, кальций - 30 мг/л, сульфаты - 250 мг/л, хлориды - 50 мг/л, гидрокарбонаты - 200 мг/л, магний - 35-65 мг/л",,,,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,общая минерализация: 50-500 мг/л,,,,,,,,,питьевая,пластик,очищенная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Акназар Вода питьевая 1,5 л газированная / негазированная","Вода питьевая Новотерская газированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-novoterskaia-gazirovannaia-pet/561825014,"1,5","Вода питьевая Новотерская газированная, ПЭТ;Вода питьевая артезианская Arctic газированная, ПЭТ;Вода питьевая Святой Источник газированная, ПЭТ;Вода питьевая Legend of Baikal глубинная газированная, пластик;Вода питьевая Святой Источник Активные минералы газированная, ПЭТ;Вода питьевая TASSAY газированная, ПЭТ",,,,,,,,,,,Новотерская Кавминводы,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,,очищенная,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,безалкогольный,"Пивной напиток безалкогольный осветлённый Амстел Natur Lemon 0,45 л х 20 шт",https://market.yandex.ru/product--pivnoi-napitok-bezalkogolnyi-osvetlennyi-amstel-natur-lemon-0-45-l-kh-20-sht/500738023,,"Пивной напиток безалкогольный осветлённый Амстел Natur Lemon 0,45 л х 20 шт;Пивной напиток безалкогольный Bud 0,45 л х 24 шт;Пивной напиток светлый безалкогольный Bud 0.33 л х 24 шт;Пивной напиток безалкогольный Amstel Натур Малина и Лайм осветленный 0.43 л х 24 шт;Пивной напиток безалкогольный осветлённый Амстел Natur Lemon 0,43 л х 24 шт;Пивной напиток безалкогольный Krusovice Psenicne 0,43 л 24 шт",,лимон,,,стеклянная бутылка,ГОСТ Р 55292,"вода питьевая очищенная, солод пивоваренный ячменный светлый, сахар, концентрированные соки: лимона, апельсина, экстракт лимона, сок лайма, натуральный ароматизатор, концентрированный сок ацеролы, стабилизатор - камедь рожкового дерева, солод пшеничный, хмелепродукты",,,,Amstel,Безалкогольное пиво и вино,светлое,пивной напиток безалкогольный,0.45 л,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,"пшеничное, ячменное","нефильтрованное, пастеризованное",0.3 % об.,20 шт.,есть,cочетание натурального лимонного сока и безалкогольного пива,30 ккал,7 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Безалкогольный напиток Аскания 0,33Л (в ассортименте) Клубника, Лимон, Яблоко, Груша",Газированный напиток ASCANIA Груша,https://market.yandex.ru/product--gazirovannyi-napitok-ascania-grusha/532699009,"0,33",Газированный напиток ASCANIA Груша;Газированный напиток Ascania Лимон;Газированный напиток Ascania Яблоко;Газированный напиток Ascania Груша;Газированный напиток Ascania Клубника;Газированный напиток Ascania Клубника с мякотью,газированный напиток,груша,да,,пластиковая бутылка,,"подготовленная вода, сахар, комплексная пищевая добавка основа “Груша основа” (концентрат фруктовых соков яблока и груши, идентичные натуральным ароматические вещества, натуральный краситель сахарный колер IV), регулятор кислотности лимонная кислота, консервант бензоат натрия",,,,Ascania,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Боржоми Мин.вода/0,5л","Минеральная вода Borjomi газированная, стекло",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-steklo/162603235,"0,5","Минеральная вода Borjomi газированная, стекло;Минеральная вода Borjomi газированная, ПЭТ",,,,,,СТГ 50:2010,"гидрокарбонаты 3500-5000 мг/дм3, хлориды 250-500 мг/дм3, кальций 20-150 мг/дм3, магний 20-150 мг/дм3, натрий 1000-2000 мг/дм3, калий 15-45 мг/дм3; диоксид углерода,%: 0,34-0,42 мг/дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"хранить при температуре от +3°C до +30°C 2 года; минерализация: 5,0-7,5 г/л",,,,,,,,,минеральная,стекло,гидрокарбонатная натриевая,,да,,,,,,,,,,да,высокоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,в ассортименте,Фигурка Mattel Toy Story в ассортименте GJH46,https://market.yandex.ru/product--figurka-mattel-toy-story-v-assortimente-gjh46/667237853,,Фигурка Mattel Toy Story в ассортименте GJH46;Barbie Профессии в ассортименте (FJB25),,,,,,,,,,,Mattel,Игровые наборы и фигурки для детей,,герои фильмов и мультфильмов,,,,,,,,шарнирная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,пластик,1 шт.,История игрушек,отсутствует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
